INFO 2024-05-16 20:47:14,361 autoreload Watching for file changes with StatReloader
DEBUG 2024-05-16 20:47:14,754 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1715804227.8313067
DEBUG 2024-05-16 20:47:14,755 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\db\models\options.py first seen with mtime 1715804227.923306
DEBUG 2024-05-16 20:47:14,755 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\db\migrations\utils.py first seen with mtime 1715804227.9073074
DEBUG 2024-05-16 20:47:14,756 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\contrib\staticfiles\handlers.py first seen with mtime 1715804227.6861274
DEBUG 2024-05-16 20:47:14,756 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\template\backends\base.py first seen with mtime 1715804228.109971
DEBUG 2024-05-16 20:47:14,757 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\email\_header_value_parser.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,757 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\encodings\cp1254.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,758 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\rest_framework\utils\timezone.py first seen with mtime 1715804272.875387
DEBUG 2024-05-16 20:47:14,759 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\db\models\functions\window.py first seen with mtime 1715804227.9513073
DEBUG 2024-05-16 20:47:14,760 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\http\multipartparser.py first seen with mtime 1715804228.0773864
DEBUG 2024-05-16 20:47:14,760 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\collections\abc.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,761 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\contrib\admin\apps.py first seen with mtime 1715804222.9133687
DEBUG 2024-05-16 20:47:14,762 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\contrib\admindocs\utils.py first seen with mtime 1715804223.9584696
DEBUG 2024-05-16 20:47:14,763 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\contrib\staticfiles\management\commands\runserver.py first seen with mtime 1715804227.6980367
DEBUG 2024-05-16 20:47:14,763 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\rest_framework_simplejwt\token_blacklist\__init__.py first seen with mtime 1715878736.9587147
DEBUG 2024-05-16 20:47:14,764 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\forms\widgets.py first seen with mtime 1715804227.9713142
